timestamp,hour,day,day_of_week,day_of_year,month,year,is_weekend,temperature,date,is_holiday,load,temp_lag_24,load_lag_24,load_lag_168
2020-01-08 00:00:00,0,8,2,8,1,2020,0,-6.385587289222217,2020-01-08,0,4400.366277557145,-1.1445004832260715,3121.95258075742,3885.5105722995827
2020-01-08 01:00:00,1,8,2,8,1,2020,0,-3.8799225434458022,2020-01-08,0,3738.715256622304,-1.085443418069028,3190.2701233779794,4449.2250610520205
2020-01-08 02:00:00,2,8,2,8,1,2020,0,-4.486623061170682,2020-01-08,0,3821.4445303488706,-3.1711500993034853,3571.9356965444895,3732.6658151840866
2020-01-08 03:00:00,3,8,2,8,1,2020,0,-5.198153943295112,2020-01-08,0,3891.131912562059,-4.817686804235321,4038.9387551975765,2682.964102190672
2020-01-08 04:00:00,4,8,2,8,1,2020,0,-1.7497784921284834,2020-01-08,0,3178.73500742186,-4.1786137814300695,3761.0464780869565,3145.686239876682
2020-01-08 05:00:00,5,8,2,8,1,2020,0,-0.9334202689766037,2020-01-08,0,2993.83668300354,-1.8313991869322106,3364.4392774831576,3088.9628125047357
2020-01-08 06:00:00,6,8,2,8,1,2020,0,1.8534455514360773,2020-01-08,0,2530.9952084684646,0.5020731070016645,2788.1395287616106,2510.558973142086
2020-01-08 07:00:00,7,8,2,8,1,2020,0,1.4893120517238747,2020-01-08,0,2817.041913185297,3.0503841130707983,2531.7875669842224,3135.9351822978265
2020-01-08 08:00:00,8,8,2,8,1,2020,0,2.8540110374647507,2020-01-08,0,2582.842008191977,3.1178559806798125,2611.5391569724256,1987.6440514950857
2020-01-08 09:00:00,9,8,2,8,1,2020,0,3.8198227872326007,2020-01-08,0,2398.096694485836,4.972991148672418,2263.078749742728,2460.9069320343256
2020-01-08 10:00:00,10,8,2,8,1,2020,0,3.430313602133028,2020-01-08,0,2570.7927578175836,2.9730322274120518,2595.097977365741,2455.1707622059607
2020-01-08 11:00:00,11,8,2,8,1,2020,0,4.821193432355237,2020-01-08,0,2263.210318829644,4.528307473435146,2321.895346403328,2013.7183379902456
2020-01-08 12:00:00,12,8,2,8,1,2020,0,8.042591930014428,2020-01-08,0,1699.4391960709256,3.540942581269859,2387.605516457228,2303.5592965572305
2020-01-08 13:00:00,13,8,2,8,1,2020,0,5.672891409039251,2020-01-08,0,2030.9419606837398,8.97658136419555,1712.412465365799,1980.1951066505267
2020-01-08 14:00:00,14,8,2,8,1,2020,0,2.590042682355898,2020-01-08,0,2542.8866136704846,2.919177592129283,2470.8555653653266,2239.102852884647
2020-01-08 15:00:00,15,8,2,8,1,2020,0,5.777403350708569,2020-01-08,0,2093.7565606684266,3.8130011812564937,2414.0212245675098,2218.263786405066
